state,ragender,pro,iter
1,1,0.42577915714862297,1
1,2,0.4611276768971797,1
2,1,0.05228267666026874,1
2,2,0.06081048929392855,1
1,1,0.4264967632864383,2
1,2,0.46087323944944564,2
2,1,0.04811843611664051,2
2,2,0.06451156114747557,2
1,1,0.4384822039572567,3
1,2,0.4439371404785453,3
2,1,0.055025861146248224,3
2,2,0.06255479441794978,3
1,1,0.4309116027004381,4
1,2,0.459855949671873,4
2,1,0.04910308605769226,4
2,2,0.06012936156999664,4
1,1,0.4272702326104106,5
1,2,0.45907888678608877,5
2,1,0.05086435662176937,5
2,2,0.06278652398173125,5
1,1,0.4224845024105415,6
1,2,0.463333139152651,6
2,1,0.051723966758019185,6
2,2,0.06245839167878836,6
1,1,0.4202770918477801,7
1,2,0.4590766271075763,7
2,1,0.05572516216707544,7
2,2,0.06492111887756814,7
1,1,0.4111863120461492,8
1,2,0.4735656855444398,8
2,1,0.05462858260880564,8
2,2,0.06061941980060539,8
1,1,0.4247291212119816,9
1,2,0.46036818426685505,9
2,1,0.05129560953542091,9
2,2,0.06360708498574245,9
1,1,0.42072940472239784,10
1,2,0.4640413327677373,10
2,1,0.05412490423695726,10
2,2,0.061104358272907604,10
1,1,0.42703216490692353,11
1,2,0.45616638021710554,11
2,1,0.05446528178191533,11
2,2,0.062336173094055605,11
1,1,0.4306200610696216,12
1,2,0.46076130239603985,12
2,1,0.050415020686660865,12
2,2,0.05820361584767772,12
1,1,0.4204953988858038,13
1,2,0.46162579352499594,13
2,1,0.05550825253030127,13
2,2,0.062370555058899,13
1,1,0.42709942159640646,14
1,2,0.4635676633205219,14
2,1,0.05148500953687628,14
2,2,0.05784790554619533,14
1,1,0.43619196004371363,15
1,2,0.4545499848749694,15
2,1,0.04956795572090227,15
2,2,0.05969009936041473,15
1,1,0.42842078105307324,16
1,2,0.4593751153607005,16
2,1,0.051717225750595515,16
2,2,0.06048687783563074,16
1,1,0.42589860641557026,17
1,2,0.4631996355855144,17
2,1,0.05391668880588851,17
2,2,0.05698506919302681,17
1,1,0.4370404316414089,18
1,2,0.4496210637814439,18
2,1,0.053700302817680554,18
2,2,0.059638201759466665,18
1,1,0.426629782031827,19
1,2,0.464111671726071,19
2,1,0.05036131864921579,19
2,2,0.058897227592886216,19
1,1,0.4294032120382765,20
1,2,0.45834592565493326,20
2,1,0.05419477241491681,20
2,2,0.058056089891873365,20
1,1,0.4337667853257149,21
1,2,0.457559490379229,21
2,1,0.04563268053190999,21
2,2,0.06304104376314616,21
1,1,0.4346699724759974,22
1,2,0.45155967910171296,22
2,1,0.054871228589998405,22
2,2,0.05889911983229117,22
1,1,0.443355852708561,23
1,2,0.4445860615247588,23
2,1,0.049484860489298683,23
2,2,0.06257322527738149,23
1,1,0.4284118898866708,24
1,2,0.4586603191859477,24
2,1,0.05002031843522636,24
2,2,0.06290747249215517,24
1,1,0.41880219331316765,25
1,2,0.46619250645500887,25
2,1,0.051305099982318664,25
2,2,0.06370020024950485,25
1,1,0.4261476459891223,26
1,2,0.45669437767622884,26
2,1,0.05386335711383662,26
2,2,0.06329461922081221,26
1,1,0.4235811684152255,27
1,2,0.4646867391214912,27
2,1,0.05410969518425788,27
2,2,0.05762239727902545,27
1,1,0.4220909289852745,28
1,2,0.467096101631266,28
2,1,0.05140926902026188,28
2,2,0.05940370036319758,28
1,1,0.42595957829184766,29
1,2,0.4620833790128369,29
2,1,0.04981682494916603,29
2,2,0.062140217746149425,29
